Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Mon, Apr 26, 2021;7:00p;Oklahoma City Thunder;90;Philadelphia 76ers;121;Box Score;;4,094;
Mon, Apr 26, 2021;7:00p;San Antonio Spurs;146;Washington Wizards;143;Box Score;OT;2,133;
Mon, Apr 26, 2021;7:30p;Phoenix Suns;118;New York Knicks;110;Box Score;;1,981;
Mon, Apr 26, 2021;7:30p;Cleveland Cavaliers;96;Toronto Raptors;112;Box Score;;1,626;
Mon, Apr 26, 2021;8:00p;Chicago Bulls;110;Miami Heat;102;Box Score;;0;
Mon, Apr 26, 2021;8:00p;Utah Jazz;104;Minnesota Timberwolves;105;Box Score;;1,638;
Mon, Apr 26, 2021;8:00p;Los Angeles Clippers;103;New Orleans Pelicans;120;Box Score;;3,7;
Mon, Apr 26, 2021;9:00p;Memphis Grizzlies;96;Denver Nuggets;120;Box Score;;3,823;
Mon, Apr 26, 2021;10:00p;Dallas Mavericks;106;Sacramento Kings;113;Box Score;;0;
Tue, Apr 27, 2021;7:00p;Oklahoma City Thunder;119;Boston Celtics;115;Box Score;;2,298;
Tue, Apr 27, 2021;7:00p;Milwaukee Bucks;114;Charlotte Hornets;104;Box Score;;3,24;
Tue, Apr 27, 2021;7:00p;Portland Trail Blazers;133;Indiana Pacers;112;Box Score;;0;
Tue, Apr 27, 2021;7:30p;Brooklyn Nets;116;Toronto Raptors;103;Box Score;;0;
Tue, Apr 27, 2021;9:00p;Minnesota Timberwolves;114;Houston Rockets;107;Box Score;;3,225;
Tue, Apr 27, 2021;9:30p;Dallas Mavericks;133;Golden State Warriors;103;Box Score;;3,613;
Wed, Apr 28, 2021;7:00p;Orlando Magic;109;Cleveland Cavaliers;104;Box Score;;4,148;
Wed, Apr 28, 2021;7:00p;Atlanta Hawks;83;Philadelphia 76ers;127;Box Score;;4,094;
Wed, Apr 28, 2021;7:30p;Charlotte Hornets;111;Boston Celtics;120;Box Score;;2,298;
Wed, Apr 28, 2021;7:30p;Chicago Bulls;94;New York Knicks;113;Box Score;;1,981;
Wed, Apr 28, 2021;7:30p;Los Angeles Lakers;107;Washington Wizards;116;Box Score;;2,133;
Wed, Apr 28, 2021;8:00p;San Antonio Spurs;111;Miami Heat;116;Box Score;;0;
Wed, Apr 28, 2021;9:00p;New Orleans Pelicans;112;Denver Nuggets;114;Box Score;;4,022;
Wed, Apr 28, 2021;9:00p;Portland Trail Blazers;130;Memphis Grizzlies;109;Box Score;;3,427;
Wed, Apr 28, 2021;10:00p;Los Angeles Clippers;101;Phoenix Suns;109;Box Score;;5,917;
Wed, Apr 28, 2021;10:00p;Utah Jazz;154;Sacramento Kings;105;Box Score;;0;
Thu, Apr 29, 2021;7:00p;Dallas Mavericks;115;Detroit Pistons;105;Box Score;;750;
Thu, Apr 29, 2021;7:00p;Brooklyn Nets;130;Indiana Pacers;113;Box Score;;0;
Thu, Apr 29, 2021;8:00p;Milwaukee Bucks;136;Houston Rockets;143;Box Score;;3,232;
Thu, Apr 29, 2021;8:00p;Golden State Warriors;114;Minnesota Timberwolves;126;Box Score;;1,638;
Thu, Apr 29, 2021;9:00p;Toronto Raptors;111;Denver Nuggets;121;Box Score;;4,025;
Thu, Apr 29, 2021;9:00p;New Orleans Pelicans;109;Oklahoma City Thunder;95;Box Score;;0;
Fri, Apr 30, 2021;7:00p;Atlanta Hawks;104;Philadelphia 76ers;126;Box Score;;4,094;
Fri, Apr 30, 2021;7:30p;San Antonio Spurs;140;Boston Celtics;143;Box Score;OT;2,298;
Fri, Apr 30, 2021;7:30p;Washington Wizards;122;Cleveland Cavaliers;93;Box Score;;4,148;
Fri, Apr 30, 2021;8:00p;Portland Trail Blazers;128;Brooklyn Nets;109;Box Score;;1,773;
Fri, Apr 30, 2021;8:00p;Orlando Magic;75;Memphis Grizzlies;92;Box Score;;2,85;
Fri, Apr 30, 2021;9:00p;Milwaukee Bucks;108;Chicago Bulls;98;Box Score;;0;
Fri, Apr 30, 2021;10:00p;Utah Jazz;100;Phoenix Suns;121;Box Score;;6,065;
Fri, Apr 30, 2021;10:30p;Sacramento Kings;110;Los Angeles Lakers;106;Box Score;;2,691;
